IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2143,"{9, 42, 11, 22, 26}","{2, 4, 37, 5, 7, 40, 6, 42, 11, 18, 21, 22, 27, 28, 31}",3,"[42, 11, 22]",15,False
2144,"{1, 4, 6, 12, 22}","{1, 35, 4, 37, 6, 7, 40, 5, 12, 18, 19, 21, 27, 28}",5,"[1, 4, 12, 6]",10,True
2145,"{2, 35, 38, 8, 20}","{34, 35, 37, 7, 39, 18, 19, 27, 28, 29, 31}",2,[35],3,True
2146,"{1, 35, 15, 20, 31}","{34, 36, 37, 39, 7, 17, 18, 19, 27, 28, 29, 31}",1,[31],15,False
2147,"{2, 18, 22, 24, 28}","{34, 36, 39, 7, 9, 42, 13, 16, 17, 19, 28, 29}",1,[28],4,False
2148,"{5, 43, 11, 29, 30}","{36, 39, 9, 42, 13, 16, 17, 19, 25, 29}",2,[29],14,True
2149,"{2, 5, 39, 16, 24}","{36, 6, 39, 8, 9, 42, 12, 13, 16, 17, 19, 25, 26}",2,"[16, 39]",15,False
2150,"{34, 38, 8, 42, 24}","{36, 4, 6, 8, 9, 42, 12, 13, 17, 19, 25, 26, 31}",2,"[8, 42]",11,False
2151,"{17, 19, 20, 21, 26}","{36, 4, 6, 12, 13, 15, 17, 19, 20, 22, 25, 26, 31}",5,"[17, 26, 19, 20]",13,True
2152,"{33, 36, 40, 10, 43}","{1, 2, 35, 4, 36, 6, 12, 13, 15, 18, 22, 25, 31}",1,[36],16,False
2153,"{38, 8, 11, 30, 31}","{1, 2, 35, 4, 6, 11, 12, 15, 18, 22, 25, 28, 29, 30, 31}",4,"[11, 30, 31]",7,True
2154,"{1, 2, 34, 41, 11}","{1, 35, 4, 5, 6, 12, 13, 16, 18, 25, 28, 29}",1,[1],10,False
2155,"{4, 42, 13, 20, 27}","{35, 4, 5, 6, 42, 16, 18, 24, 28, 29}",2,"[42, 4]",1,False
2156,"{41, 14, 17, 24, 25}","{5, 6, 16, 24, 28, 29}",1,[24],1,False
2157,"{1, 5, 13, 27, 30}","{2, 5, 6, 8, 16, 21, 26, 28, 29}",1,[5],7,False
2158,"{35, 38, 12, 15, 28}","{33, 2, 8, 40, 16, 21, 26, 28, 29, 31}",1,[28],1,False
2159,"{32, 8, 18, 19, 22}","{33, 34, 2, 36, 39, 8, 40, 43, 11, 16, 21, 26, 29, 31}",1,[8],1,False
2160,"{3, 36, 9, 22, 23}","{33, 34, 2, 36, 39, 40, 42, 43, 11, 10, 16, 20, 21, 26, 31}",1,[36],2,False
2161,"{5, 38, 9, 42, 27}","{33, 2, 34, 39, 40, 42, 43, 11, 10, 14, 16, 20, 21, 26, 31}",1,[42],1,False
2162,"{1, 33, 6, 43, 24}","{33, 2, 4, 39, 40, 41, 10, 43, 11, 13, 14, 17, 20, 21, 24, 26, 30, 31}",3,"[24, 33, 43]",8,False
2163,"{1, 38, 7, 22, 28}","{2, 4, 39, 40, 41, 10, 8, 11, 13, 14, 15, 12, 17, 20, 23, 26, 30, 31}",1,[],6,True
2164,"{37, 43, 14, 18, 24}","{2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 17, 18, 23, 25, 26, 30, 31, 35, 39, 40, 41}",3,"[18, 14]",15,True
2165,"{32, 3, 22, 27, 31}","{2, 3, 4, 8, 9, 10, 11, 12, 13, 15, 17, 23, 25, 26, 30, 31, 32, 35, 39, 40, 41}",4,"[32, 3, 31]",10,True
2166,"{36, 38, 7, 42, 13}","{35, 4, 5, 39, 8, 41, 10, 42, 9, 12, 13, 11, 15, 17, 23, 25, 26, 30}",2,"[42, 13]",9,False
2167,"{3, 36, 38, 8, 25}","{35, 4, 5, 39, 9, 10, 41, 12, 11, 17, 23, 25, 26}",1,[25],10,False
2168,"{37, 40, 15, 20, 26}","{1, 35, 4, 5, 6, 9, 10, 41, 12, 17, 23, 26}",1,[26],13,False
2169,"{1, 33, 4, 5, 29}","{1, 4, 5, 6, 9, 10, 12, 14, 17, 18, 22, 23, 28}",3,"[1, 4, 5]",11,False
2170,"{37, 17, 18, 19, 27}","{6, 7, 10, 12, 14, 17, 18, 19, 22, 23, 24, 27, 28}",5,"[27, 17, 18, 19]",14,True
2171,"{1, 4, 10, 16, 25}","{32, 3, 6, 7, 8, 42, 10, 43, 14, 22, 23, 24, 28, 31}",1,[10],15,False
2172,"{1, 33, 36, 11, 31}","{32, 3, 6, 7, 8, 38, 42, 43, 13, 14, 23, 24, 28, 31}",2,[31],7,True
2173,"{36, 39, 9, 43, 27}","{32, 3, 38, 6, 8, 7, 42, 43, 13, 14, 15, 20, 23, 24, 28}",2,[43],8,True
2174,"{3, 37, 40, 9, 42}","{32, 5, 38, 6, 7, 8, 13, 14, 15, 20, 23, 24, 28, 29}",0,[],11,False
2175,"{33, 34, 40, 19, 23}","{32, 5, 38, 7, 6, 13, 15, 20, 23, 24, 26, 29}",1,[23],5,False
2176,"{4, 37, 6, 36, 16}","{32, 5, 38, 7, 6, 13, 15, 18, 20, 26, 29}",1,[6],14,False
2177,"{3, 38, 7, 8, 18}","{32, 1, 5, 38, 7, 11, 13, 18, 20, 26, 29}",3,"[18, 38, 7]",7,False
2178,"{33, 42, 11, 43, 24}","{32, 1, 5, 9, 11, 13, 17, 26, 27, 29}",2,[11],15,True
2179,"{34, 41, 20, 27, 31}","{32, 1, 9, 13, 17, 25, 26, 27, 29, 31}",2,"[27, 31]",9,False
2180,"{7, 9, 16, 23, 28}","{32, 1, 9, 10, 13, 17, 25, 26, 29}",2,[9],12,True
2181,"{1, 5, 8, 17, 30}","{3, 37, 40, 10, 13, 17, 25, 26, 29}",1,[17],15,False
