IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2145,"{39, 9, 16, 19, 29}","{32, 1, 2, 4, 5, 7, 39, 13, 14, 19, 21, 23, 28}",2,"[19, 39]",1,False
2146,"{34, 7, 42, 43, 25}","{32, 1, 34, 4, 6, 7, 13, 14, 21, 22, 23, 24, 28}",2,"[34, 7]",2,False
2147,"{3, 40, 16, 22, 26}","{32, 1, 4, 5, 6, 12, 13, 14, 21, 22, 23, 24, 28, 30}",2,[22],12,True
2148,"{35, 5, 38, 43, 20}","{1, 4, 6, 11, 12, 13, 14, 21, 24, 27, 28, 30}",0,[],2,False
2149,"{40, 14, 15, 26, 28}","{1, 4, 6, 11, 12, 13, 14, 15, 21, 24, 25, 27, 28, 29, 30}",3,"[28, 14, 15]",14,False
2150,"{16, 17, 24, 26, 28}","{4, 6, 39, 9, 11, 12, 19, 21, 24, 25, 27, 29, 30, 31}",1,[24],4,False
2151,"{2, 38, 8, 43, 21}","{33, 4, 6, 39, 7, 9, 11, 19, 21, 25, 27, 29, 30, 31}",1,[21],7,False
2152,"{38, 40, 43, 20, 21}","{33, 3, 39, 7, 9, 11, 19, 25, 29, 30, 31}",0,[],5,False
2153,"{9, 16, 18, 21, 27}","{33, 3, 35, 5, 7, 39, 9, 11, 19, 25, 29, 30, 31}",1,[9],5,False
2154,"{32, 2, 12, 17, 30}","{33, 3, 35, 5, 7, 11, 25, 26, 29, 30, 31}",1,[30],1,False
2155,"{1, 5, 9, 21, 24}","{33, 34, 35, 3, 5, 7, 42, 11, 22, 25, 26, 29, 31}",1,[5],10,False
2156,"{34, 38, 43, 22, 24}","{34, 35, 3, 7, 40, 8, 42, 43, 11, 15, 22, 26, 31}",3,"[34, 43, 22]",6,False
2157,"{35, 38, 40, 12, 14}","{35, 3, 7, 8, 40, 42, 11, 15, 16, 26}",2,"[40, 35]",1,False
2158,"{33, 34, 22, 24, 31}","{8, 42, 11, 15, 16, 20, 21, 26, 27, 28}",1,[],13,True
2159,"{40, 41, 18, 24, 29}","{32, 8, 42, 11, 15, 16, 18, 20, 21, 27, 28}",2,[18],5,True
2160,"{3, 14, 15, 19, 31}","{32, 2, 5, 8, 9, 42, 43, 11, 15, 16, 17, 20, 21, 27, 28}",2,[15],7,True
2161,"{2, 43, 11, 12, 24}","{32, 2, 5, 8, 9, 42, 43, 12, 16, 17, 20, 21, 27, 28}",4,"[2, 43, 12]",12,True
2162,"{33, 2, 3, 8, 15}","{32, 1, 35, 5, 38, 9, 42, 16, 17, 20, 21, 27, 28, 30}",1,[],6,True
2163,"{1, 33, 36, 12, 13}",set(),0,[],3,False
2164,"{5, 8, 9, 42, 21}","{35, 41, 17, 21, 28, 29, 30}",1,[21],8,False
2165,"{33, 35, 7, 41, 17}","{35, 40, 41, 43, 17, 18, 19, 24, 28, 29, 30}",3,"[41, 35, 17]",9,False
2166,"{32, 40, 17, 20, 23}","{36, 38, 40, 43, 18, 19, 22, 24, 28, 29, 30}",1,[40],2,False
2167,"{32, 33, 39, 43, 29}","{34, 3, 36, 38, 43, 12, 18, 19, 22, 24, 29, 30, 31}",3,"[43, 29]",1,True
2168,"{3, 4, 9, 19, 26}","{34, 3, 2, 38, 14, 18, 19, 22, 24, 30, 31}",2,"[19, 3]",15,False
